part_id,part_name,system_category,typical_pm_action,probability_needed,compatible_models,synthetic_stock_local
1,radiator_assembly,cooling,inspect_clean,0.2,QSX15;QSK19;QSK50,low_stock
2,remote_radiator_core,cooling,inspect_clean,0.2,QSK19;QSK50,out_of_stock
3,coolant_hose_upper,cooling,inspect_replace_if_worn,0.3,QSB7;QSX15,in_stock
4,coolant_hose_lower,cooling,inspect_replace_if_worn,0.3,QSB7;QSX15;QSK19,in_stock
5,coolant_filter_element,cooling,replace,0.4,QSX15;QSK19;QSK50,in_stock
6,thermostat_assembly,cooling,inspect_replace_if_faulty,0.2,QSB7;QSX15,low_stock
7,radiator_fan_belt,cooling,inspect_replace_if_worn,0.5,QSB7;QSX15;QSK19,in_stock
8,coolant_level_sender,cooling,inspect_replace_if_faulty,0.1,QSX15;QSK19,low_stock
9,fan_shroud_cooling,cooling,inspect_resecure,0.2,DFHA_QST30;QSK50,in_stock
10,engine_block_heater,cooling,inspect_replace_if_faulty,0.2,QSX15;QSK19;QSK50,low_stock
11,fuel_filter_primary,fuel,replace,0.7,QSB7;QSX15;QSK19;QSK50,in_stock
12,fuel_filter_secondary,fuel,replace,0.4,QSB7;QSX15;QSK19;QSK50,in_stock
13,fuel_water_separator_element,fuel,replace,0.5,QSX15;QSK19;QSK50,low_stock
14,flex_fuel_line_inlet,fuel,inspect_replace_if_worn,0.3,QSB7;QSX15,in_stock
15,flex_fuel_line_return,fuel,inspect_replace_if_worn,0.3,QSB7;QSX15;QSK19,in_stock
16,fuel_shutoff_solenoid,fuel,inspect_replace_if_faulty,0.2,QSX15;QSK19,low_stock
17,fuel_tank_level_sender,fuel,inspect_replace_if_faulty,0.1,QSB7;QSK19,low_stock
18,fuel_day_tank_strainer,fuel,inspect_clean,0.3,QSK19;QSK50,in_stock
19,main_battery_12V,electrical,replace_if_weak,0.4,QSB7;QSX15,in_stock
20,main_battery_24V,electrical,replace_if_weak,0.3,QSK19;QSK50,low_stock
21,battery_cable_positive,electrical,inspect_replace_if_damaged,0.3,QSB7;QSX15;QSK19;QSK50,in_stock
22,battery_cable_negative,electrical,inspect_replace_if_damaged,0.3,QSB7;QSX15;QSK19;QSK50,in_stock
23,battery_charger_module,electrical,inspect_replace_if_faulty,0.2,QSX15;QSK19;QSK50,low_stock
24,engine_heater_wiring_harness,electrical,inspect_replace_if_damaged,0.2,DFHA_QST30;QSK50,low_stock
25,control_panel_wiring_harness,electrical,inspect_resecure_or_replace,0.2,DFHA_QST30;QSB7;QSX15,low_stock
26,ground_fault_relay,electrical,inspect_test_replace_if_faulty,0.1,DFHA_QST30;QSK19;QSK50,low_stock
27,main_circuit_breaker_electrical,electrical,inspect_service,0.2,DFHA_QST30;QSK50,in_stock
28,air_filter_primary,air_intake,replace,0.7,QSB7;QSX15;QSK19;QSK50,in_stock
29,air_filter_safety_element,air_intake,replace,0.4,QSX15;QSK19;QSK50,low_stock
30,air_intake_flex_hose,air_intake,inspect_replace_if_cracked,0.3,QSB7;QSX15;QSK19,in_stock
